iter	Passed	Remaining
434	1516	1969
435	1519	1965
436	1522	1961
437	1526	1958
438	1530	1955
439	1533	1951
440	1535	1946
441	1538	1942
442	1542	1939
443	1546	1936
444	1549	1932
445	1553	1929
446	1556	1925
447	1560	1922
448	1563	1918
449	1566	1914
450	1569	1909
451	1572	1906
452	1576	1903
453	1579	1899
454	1582	1895
455	1585	1891
456	1588	1886
457	1591	1883
458	1594	1879
459	1597	1875
460	1600	1871
461	1603	1867
462	1607	1863
463	1610	1860
464	1613	1856
465	1616	1852
466	1619	1847
467	1622	1844
468	1626	1841
469	1629	1837
470	1632	1833
471	1636	1830
472	1639	1827
473	1643	1823
474	1646	1819
475	1649	1815
476	1652	1811
477	1656	1808
478	1659	1805
479	1662	1800
480	1665	1796
481	1668	1792
482	1671	1789
483	1675	1785
484	1678	1781
485	1681	1778
486	1684	1774
487	1688	1771
488	1692	1768
489	1695	1764
490	1698	1760
491	1702	1757
492	1705	1754
493	1709	1751
494	1712	1747
495	1716	1743
496	1719	1740
497	1723	1737
498	1727	1733
499	1729	1729
500	1733	1726
501	1736	1722
502	1740	1719
503	1743	1716
504	1746	1712
505	1749	1708
506	1752	1704
507	1756	1701
508	1759	1697
509	1762	1693
510	1765	1689
511	1769	1686
512	1773	1683
513	1776	1680
514	1779	1675
515	1782	1672
516	1786	1668
517	1790	1665
518	1793	1661
519	1796	1657
520	1799	1654
521	1802	1650
522	1806	1647
523	1809	1643
524	1811	1639
525	1814	1635
526	1818	1631
527	1822	1628
528	1825	1625
529	1828	1621
530	1831	1617
531	1834	1613
532	1838	1610
533	1841	1606
534	1844	1603
535	1847	1599
536	1850	1595
537	1853	1592
538	1857	1588
539	1860	1584
540	1864	1581
541	1867	1578
542	1870	1574
543	1874	1571
544	1877	1567
545	1881	1564
546	1885	1561
547	1888	1557
548	1891	1553
549	1894	1549
550	1897	1546
551	1900	1542
552	1903	1538
553	1906	1534
554	1909	1531
555	1912	1527
556	1915	1523
557	1918	1519
558	1921	1516
559	1924	1512
560	1927	1508
561	1931	1505
562	1934	1501
563	1938	1498
564	1941	1494
565	1944	1490
566	1947	1487
567	1951	1483
568	1954	1480
569	1957	1476
570	1959	1472
571	1962	1468
572	1966	1465
573	1969	1462
574	1973	1458
575	1976	1454
576	1979	1451
577	1983	1448
578	1987	1444
579	1990	1441
580	1993	1437
581	1997	1434
582	2001	1431
583	2004	1428
584	2008	1424
585	2011	1420
586	2014	1417
587	2017	1413
